JD,RV
2430475.839, -14.47
2430482.779, -13.59
2430482.815, -14.25
2430485.776, -14.27
2430485.809, -14.26
2430485.840, -14.16
2430485.882, -14.13
2430485.915, -13.73
2430496.813, -14.33
2430496.851, -13.51
2430498.698, -13.57
2430498.738, -13.95
2430498.772, -13.71
2430498.802, -13.07
2430498.833, -13.48
2430498.861, -12.88
2430498.891, -12.86
2430513.726, -13.93
2430513.759, -13.75
2430513.798, -13.03
2430513.835, -13.03
2430523.687, -14.00
2430523.721, -13.87
2430529.705, -13.42
2430531.715, -13.35
2430531.750, -13.89
2430540.679, -14.06
2430540.717, -13.67
2430545.780, -13.73
2430545.809, -14.02
2430547.698, -13.75
2430547.725, -13.34
2430549.693, -13.58
2430554.716, -13.40
2430554.742, -13.78
2430559.670, -13.87
2430559.692, -13.30
2430566.734, -14.02
2430566.757, -13.73
2430573.685, -13.95
2430573.711, -14.39
2430575.663, -14.49
2430575.685, -14.15
2430596.673, -15.17
2430596.699, -14.52
2430612.640, -14.40
2430612.664, -14.65
